Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,50.000000 ,200.000000 ,550.000000 ,1050.000000 ,1550.000000  
07/02/2012 14:00,734906.583333,6.583333,1,1,1,0.050344,0.072205,0.270425,0.400000,0.400000 
07/02/2012 15:00,734906.625000,6.625000,1,1,1,0.050187,0.072034,0.272727,0.400000,0.400000 
07/02/2012 16:00,734906.666667,6.666667,1,1,1,0.050032,0.071866,0.274936,0.400000,0.400000 
07/02/2012 17:00,734906.708333,6.708333,1,1,1,0.049879,0.071701,0.277056,0.400000,0.400000 
07/02/2012 18:00,734906.750000,6.750000,1,1,1,0.049728,0.071537,0.279091,0.400000,0.400000 
07/02/2012 19:00,734906.791667,6.791667,1,1,1,0.049578,0.071376,0.281045,0.400000,0.400000 
07/02/2012 20:00,734906.833333,6.833333,1,1,1,0.049431,0.071217,0.282923,0.400000,0.400000 
07/02/2012 21:00,734906.875000,6.875000,1,1,1,0.049285,0.071060,0.284729,0.400000,0.400000 
07/02/2012 22:00,734906.916667,6.916667,1,1,1,0.049141,0.070905,0.286466,0.400000,0.400000 
07/02/2012 23:00,734906.958333,6.958333,1,1,1,0.048999,0.070752,0.288138,0.400000,0.400000 
08/02/2012 00:00,734907.000000,7.000000,1,1,1,0.048858,0.070601,0.289749,0.400000,0.400000 
08/02/2012 01:00,734907.041667,7.041667,1,1,1,0.048719,0.070452,0.291302,0.400000,0.400000 
08/02/2012 02:00,734907.083333,7.083333,1,1,1,0.048582,0.070304,0.292800,0.400000,0.400000 
08/02/2012 03:00,734907.125000,7.125000,1,1,1,0.048446,0.070158,0.294247,0.400000,0.400000 
08/02/2012 04:00,734907.166667,7.166667,1,1,1,0.048312,0.070014,0.295645,0.400000,0.400000 
08/02/2012 05:00,734907.208333,7.208333,1,1,1,0.048179,0.069871,0.296996,0.400000,0.400000 
08/02/2012 06:00,734907.250000,7.250000,1,1,1,0.048048,0.069730,0.298303,0.400000,0.400000 
08/02/2012 07:00,734907.291667,7.291667,1,1,1,0.047918,0.069591,0.299569,0.400000,0.400000 
08/02/2012 08:00,734907.333333,7.333333,1,1,1,0.047790,0.069453,0.300795,0.400000,0.400000 
08/02/2012 09:00,734907.375000,7.375000,1,1,1,0.047663,0.069316,0.301982,0.400000,0.400000 
08/02/2012 10:00,734907.416667,7.416667,1,1,1,0.047537,0.069181,0.303134,0.400000,0.400000 
08/02/2012 11:00,734907.458333,7.458333,1,1,1,0.047413,0.069047,0.304251,0.400000,0.400000 
08/02/2012 12:00,734907.500000,7.500000,1,1,1,0.047290,0.068915,0.305334,0.400000,0.400000 
08/02/2012 13:00,734907.541667,7.541667,1,1,1,0.047168,0.068784,0.306385,0.400000,0.400000 
08/02/2012 14:00,734907.583333,7.583333,1,1,1,0.047048,0.068654,0.307405,0.400000,0.400000 
08/02/2012 15:00,734907.625000,7.625000,1,1,1,0.046929,0.068526,0.308394,0.400000,0.400000 
08/02/2012 16:00,734907.666667,7.666667,1,1,1,0.046811,0.068398,0.309355,0.400000,0.400000 
08/02/2012 17:00,734907.708333,7.708333,1,1,1,0.046694,0.068272,0.310288,0.400000,0.400000 
08/02/2012 18:00,734907.750000,7.750000,1,1,1,0.046579,0.068148,0.311194,0.400000,0.400000 
08/02/2012 19:00,734907.791667,7.791667,1,1,1,0.046464,0.068024,0.312074,0.400000,0.400000 
08/02/2012 20:00,734907.833333,7.833333,1,1,1,0.046351,0.067901,0.312929,0.400000,0.400000 
08/02/2012 21:00,734907.875000,7.875000,1,1,1,0.046239,0.067780,0.313760,0.400000,0.400000 
08/02/2012 22:00,734907.916667,7.916667,1,1,1,0.046128,0.067660,0.314568,0.400000,0.400000 
08/02/2012 23:00,734907.958333,7.958333,1,1,1,0.046019,0.067540,0.315353,0.400000,0.400000 
09/02/2012 00:00,734908.000000,8.000000,1,1,1,0.045910,0.067422,0.316116,0.400000,0.400000 
09/02/2012 01:00,734908.041667,8.041667,1,1,1,0.045802,0.067305,0.316857,0.400000,0.400000 
09/02/2012 02:00,734908.083333,8.083333,1,1,1,0.045695,0.067189,0.317578,0.400000,0.400000 
09/02/2012 03:00,734908.125000,8.125000,1,1,1,0.045590,0.067074,0.318279,0.400000,0.400000 
09/02/2012 04:00,734908.166667,8.166667,1,1,1,0.045485,0.066960,0.318960,0.400000,0.400000 
09/02/2012 05:00,734908.208333,8.208333,1,1,1,0.045381,0.066846,0.319623,0.400000,0.400000 
09/02/2012 06:00,734908.250000,8.250000,1,1,1,0.045279,0.066734,0.320269,0.400000,0.400000 
09/02/2012 07:00,734908.291667,8.291667,1,1,1,0.045177,0.066623,0.320898,0.400000,0.400000 
09/02/2012 08:00,734908.333333,8.333333,1,1,1,0.045076,0.066512,0.321511,0.400000,0.400000 
09/02/2012 09:00,734908.375000,8.375000,1,1,1,0.044976,0.066403,0.322109,0.400000,0.400000 
09/02/2012 10:00,734908.416667,8.416667,1,1,1,0.044877,0.066294,0.322693,0.400000,0.400000 
09/02/2012 11:00,734908.458333,8.458333,1,1,1,0.044779,0.066186,0.323263,0.400000,0.400000 
09/02/2012 12:00,734908.500000,8.500000,1,1,1,0.044682,0.066079,0.323820,0.400000,0.400000 
09/02/2012 13:00,734908.541667,8.541667,1,1,1,0.044586,0.065973,0.324364,0.400000,0.400000 
09/02/2012 14:00,734908.583333,8.583333,1,1,1,0.044490,0.065868,0.324896,0.400000,0.400000 
09/02/2012 15:00,734908.625000,8.625000,1,1,1,0.044395,0.065763,0.325416,0.400000,0.400000 
09/02/2012 16:00,734908.666667,8.666667,1,1,1,0.044302,0.065660,0.325925,0.400000,0.400000 
09/02/2012 17:00,734908.708333,8.708333,1,1,1,0.044209,0.065557,0.326424,0.400000,0.400000 
09/02/2012 18:00,734908.750000,8.750000,1,1,1,0.044116,0.065455,0.326911,0.400000,0.400000 
09/02/2012 19:00,734908.791667,8.791667,1,1,1,0.044025,0.065353,0.327389,0.400000,0.400000 
09/02/2012 20:00,734908.833333,8.833333,1,1,1,0.043934,0.065253,0.327857,0.400000,0.400000 
09/02/2012 21:00,734908.875000,8.875000,1,1,1,0.043845,0.065153,0.328315,0.400000,0.400000 
09/02/2012 22:00,734908.916667,8.916667,1,1,1,0.043755,0.065054,0.328763,0.400000,0.400000 
09/02/2012 23:00,734908.958333,8.958333,1,1,1,0.043667,0.064955,0.329203,0.400000,0.400000 
10/02/2012 00:00,734909.000000,9.000000,1,1,1,0.043580,0.064858,0.329634,0.400000,0.400000 
10/02/2012 01:00,734909.041667,9.041667,1,1,1,0.043493,0.064761,0.330056,0.400000,0.400000 
10/02/2012 02:00,734909.083333,9.083333,1,1,1,0.043406,0.064664,0.330469,0.400000,0.400000 
10/02/2012 03:00,734909.125000,9.125000,1,1,1,0.043321,0.064569,0.330874,0.400000,0.400000 
10/02/2012 04:00,734909.166667,9.166667,1,1,1,0.043236,0.064474,0.331271,0.400000,0.400000 
10/02/2012 05:00,734909.208333,9.208333,1,1,1,0.043152,0.064380,0.331660,0.400000,0.400000 
10/02/2012 06:00,734909.250000,9.250000,1,1,1,0.043069,0.064286,0.332041,0.400000,0.400000 
10/02/2012 07:00,734909.291667,9.291667,1,1,1,0.042986,0.064193,0.332414,0.400000,0.400000 
10/02/2012 08:00,734909.333333,9.333333,1,1,1,0.042904,0.064101,0.332780,0.400000,0.400000 
10/02/2012 09:00,734909.375000,9.375000,1,1,1,0.042823,0.064009,0.333138,0.400000,0.400000 
10/02/2012 10:00,734909.416667,9.416667,1,1,1,0.042742,0.063918,0.333488,0.400000,0.400000 
10/02/2012 11:00,734909.458333,9.458333,1,1,1,0.042662,0.063827,0.333831,0.400000,0.400000 
10/02/2012 12:00,734909.500000,9.500000,1,1,1,0.042582,0.063737,0.334167,0.400000,0.400000 
10/02/2012 13:00,734909.541667,9.541667,1,1,1,0.042503,0.063648,0.334496,0.400000,0.400000 
10/02/2012 14:00,734909.583333,9.583333,1,1,1,0.042425,0.063559,0.334817,0.400000,0.400000 
10/02/2012 15:00,734909.625000,9.625000,1,1,1,0.042347,0.063471,0.335132,0.400000,0.400000 
10/02/2012 16:00,734909.666667,9.666667,1,1,1,0.042270,0.063384,0.335439,0.400000,0.400000 
10/02/2012 17:00,734909.708333,9.708333,1,1,1,0.042193,0.063297,0.335740,0.400000,0.400000 
10/02/2012 18:00,734909.750000,9.750000,1,1,1,0.042117,0.063210,0.336034,0.400000,0.400000 
10/02/2012 19:00,734909.791667,9.791667,1,1,1,0.042042,0.063124,0.336321,0.400000,0.400000 
10/02/2012 20:00,734909.833333,9.833333,1,1,1,0.041967,0.063039,0.336601,0.400000,0.400000 
10/02/2012 21:00,734909.875000,9.875000,1,1,1,0.041893,0.062954,0.336874,0.400000,0.400000 
10/02/2012 22:00,734909.916667,9.916667,1,1,1,0.041819,0.062870,0.337141,0.400000,0.400000 
10/02/2012 23:00,734909.958333,9.958333,1,1,1,0.041746,0.062786,0.337401,0.400000,0.400000 
11/02/2012 00:00,734910.000000,10.000000,1,1,1,0.041673,0.062703,0.337655,0.400000,0.400000 
11/02/2012 01:00,734910.041667,10.041667,1,1,1,0.041601,0.062620,0.337902,0.400000,0.400000 
11/02/2012 02:00,734910.083333,10.083333,1,1,1,0.041529,0.062538,0.338143,0.400000,0.400000 
11/02/2012 03:00,734910.125000,10.125000,1,1,1,0.041458,0.062456,0.338378,0.400000,0.400000 
11/02/2012 04:00,734910.166667,10.166667,1,1,1,0.041388,0.062375,0.338606,0.400000,0.400000 
11/02/2012 05:00,734910.208333,10.208333,1,1,1,0.041317,0.062294,0.338828,0.400000,0.400000 
11/02/2012 06:00,734910.250000,10.250000,1,1,1,0.041248,0.062214,0.339044,0.400000,0.400000 
11/02/2012 07:00,734910.291667,10.291667,1,1,1,0.041179,0.062134,0.339254,0.400000,0.400000 
11/02/2012 08:00,734910.333333,10.333333,1,1,1,0.041110,0.062055,0.339458,0.400000,0.400000 
11/02/2012 09:00,734910.375000,10.375000,1,1,1,0.041042,0.061976,0.339655,0.400000,0.400000 
